source,target,weight
2R21vXR83lH98kGeO99Y66,7GQDI5Vmxs92RsIRZzYT11,1
47MpMsUfWtgyIIBEFOr4FE,6w9ToX5slZ4uIdmD17hJ3c,1
2R21vXR83lH98kGeO99Y66,6LGGOg5XbaaB5cBo7HR61a,1
2R21vXR83lH98kGeO99Y66,3i6lAgVHplDXb6zrjIeBeK,1
4IMAo2UQchVFyPH24PAjUs,4ncaw2cfA3Wlly1tBD2eWt,1
2R21vXR83lH98kGeO99Y66,6w9ToX5slZ4uIdmD17hJ3c,1
2R21vXR83lH98kGeO99Y66,2v2UIkZpgupzvSNS9wicgV,1
4s6Xg38sbqh4xpf4OqhVUK,6nVcHLIgY5pE2YCl8ubca1,1
2R21vXR83lH98kGeO99Y66,46SHBwWsqBkxI7EeeBEQG7,1
2R21vXR83lH98kGeO99Y66,4VMYDCV2IEDYJArk749S6m,2
2R21vXR83lH98kGeO99Y66,3hcs9uc56yIGFCSy9leWe7,1
1pgDilWYDWLoOgGjf1iHNu,329e4yvIujISKGKz1BZZbO,1
1i8SpTcr7yvPOmcqrbnVXY,1vyhD5VmyZ7KMfW5gqLgo5,2
2R21vXR83lH98kGeO99Y66,4riOEaOW5hCeqomFDBk0aP,1
0ys2OFYzWYB5hRDLCsBqxt,1rTUwYS38LkQTlT2fhikch,2
2v2UIkZpgupzvSNS9wicgV,6LGGOg5XbaaB5cBo7HR61a,1
2KtMll7bpqySnZhr8wriRE,4axKuDPr6WKcDCyh8vueTY,2
2R21vXR83lH98kGeO99Y66,6TKygPpVT29oGUogu4J9Ec,1
1i8SpTcr7yvPOmcqrbnVXY,2T1aUibqR2QC2sINIDQOAK,2
3i6lAgVHplDXb6zrjIeBeK,4UhDECNxyqKv0Cn0sua1MC,1
3i6lAgVHplDXb6zrjIeBeK,6TKygPpVT29oGUogu4J9Ec,1
2YRyPiW98bpkARAS4B3OQP,2cPqdH7XMvwaBJEVjheH8g,1
0Tyf4eMcgHNc7xTDFe9Yqs,1TA5sGRlKUJXBN4ZyJuDIX,1
1i8SpTcr7yvPOmcqrbnVXY,4VMYDCV2IEDYJArk749S6m,3
2R21vXR83lH98kGeO99Y66,4q3ewBCX7sLwd24euuV69X,2
1TA5sGRlKUJXBN4ZyJuDIX,4axKuDPr6WKcDCyh8vueTY,1
4axKuDPr6WKcDCyh8vueTY,4cYbf45YbZptNISnhay0xH,1
2YRyPiW98bpkARAS4B3OQP,6w9ToX5slZ4uIdmD17hJ3c,4
17SY5q1CMOZJBRuPcKWwPI,4s6Xg38sbqh4xpf4OqhVUK,1
2R21vXR83lH98kGeO99Y66,5kCv5opFav2P7nPl8FiEQx,1
2R21vXR83lH98kGeO99Y66,5XJDexmWFLWOkjOEjOVX3e,2
2R21vXR83lH98kGeO99Y66,4cYbf45YbZptNISnhay0xH,1
2YRyPiW98bpkARAS4B3OQP,4CQdcx66F116k2db2Y0rjE,3
2R21vXR83lH98kGeO99Y66,70u0ytxL7TpF1Kdc2HFyM2,2
1r3tpVQ08jFAA2P4xzV5o4,2R21vXR83lH98kGeO99Y66,1
18dspUI6gqabm5XCC2RcUD,2R21vXR83lH98kGeO99Y66,1
16yTBMwXmeW9MQgfcHZgA7,4SsVbpTthjScTS7U2hmr1X,1
08yYd8o1CrOjIpGHP2I6zU,4SsVbpTthjScTS7U2hmr1X,1
